date,school,reservation_theorique,presence_reel_eleve
2025-09-01,AKIRA KUROSAWA,56,56
2025-09-01,ALAIN SAVARY,116,116
2025-09-01,ALBRECHT,58,58
2025-09-01,ANDRE BOULLOCHE,43,43
2025-09-01,ANDRE MALRAUX,221,221
2025-09-01,ANTOINE BALARD,54,53
2025-09-01,AQUITAINE,52,51
2025-09-01,ARISTOTE,50,50
2025-09-01,AUBIGNE,93,93
2025-09-01,AUBRAC,38,37
2025-09-01,AUGUSTE COMTE,48,48
2025-09-01,AVERROES,33,25
2025-09-01,BENOITE GROULT,193,193
2025-09-01,BERGMAN,41,41
2025-09-01,BLAISE PASCAL,84,83
2025-09-01,BON,56,56
2025-09-01,BOUCHER,74,72
2025-09-01,BRES,44,43
2025-09-01,CALANDRETA DAU CHIVALET,73,73
2025-09-01,CALANDRETA DAU CLAPAS,139,139
2025-09-01,CALLAS,74,59
2025-09-01,CAMOENS,38,32
2025-09-01,CANDOLA,78,78
2025-09-01,CERVANTES,28,19
2025-09-01,CHAPLIN,116,116
2025-09-01,CHAPTAL,86,86
2025-09-01,CHARLES BAUDELAIRE,163,163
2025-09-01,CHARLES DICKENS ANNE FRANK,255,255
2025-09-01,CHENGDU,131,131
2025-09-01,COCTEAU,60,60
2025-09-01,CONDORCET,157,157
2025-09-01,COPERNIC,30,30
2025-09-01,DAUDET,98,98
2025-09-01,DAVILER KERGOMARD,248,236
2025-09-01,DEROIN,86,85
2025-09-01,DIDEROT,123,123
2025-09-01,DOCTEUR CALMETTE,144,143
2025-09-01,DURUY,34,32
2025-09-01,ELUARD,70,70
2025-09-01,EMILE COMBES,54,54
2025-09-01,EUGENE POTTIER JEAN SIBELIUS,248,232
2025-09-01,F D ROOSEVELT,65,65
2025-09-01,FIGUIER,83,83
2025-09-01,FLORIAN,64,64
2025-09-01,FRANCOIS MITTERRAND,159,157
2025-09-01,FREDERIC BAZILLE,16,16
2025-09-01,GALILEE,56,56
2025-09-01,GAMA,65,64
2025-09-01,GAMBETTA,84,84
2025-09-01,GANDHI,12,11
2025-09-01,GARIBALDI,113,113
2025-09-01,GARNIER,63,52
2025-09-01,GEORGES SIMENON,136,136
2025-09-01,GERMAINE RICHIER,244,227
2025-09-01,GOETHE,46,38
2025-09-01,HEIDELBERG,69,69
2025-09-01,HYPATIE,31,31
2025-09-01,ISAAC SCHOLL,90,90
2025-09-01,JACQUES BREL,169,169
2025-09-01,JEAN JAURES,143,142
2025-09-01,JEAN MACE,120,120
2025-09-01,JEAN MERMOZ,131,131
2025-09-01,JEAN MOULIN,112,112
2025-09-01,JEAN ZAY,79,79
2025-09-01,JEANNE D ARC,106,106
2025-09-01,JEANNE MOREAU,156,156
2025-09-01,JOAN MIRO,204,202
2025-09-01,JOSEPH DELTEIL,102,102
2025-09-01,JOYCE,24,24
2025-09-01,JULES FERRY,133,133
2025-09-01,JULES SIMON,146,146
2025-09-01,JULES VERNE,93,93
2025-09-01,JULIE DAUBIE,126,126
2025-09-01,KIPLING,59,59
2025-09-01,LAFONTAINE,65,65
2025-09-01,LAMARTINE,75,75
2025-09-01,LEO MALET,174,174
2025-09-01,LEOPOLD SEDAR SENGHOR,81,81
2025-09-01,LOUIS ARMSTRONG,104,104
2025-09-01,LOUISVILLE,59,59
2025-09-01,LUDWIG VAN BEETHOVEN,292,291
2025-09-01,LUTHERKING,30,25
2025-09-01,MADAME DE SEVIGNE,123,123
2025-09-01,MARC BLOCH,89,89
2025-09-01,MARGUERITTE YOURCENAR,146,146
2025-09-01,MARIE CURIE,170,170
2025-09-01,MARIE PAPE CARPENTIER,111,109
2025-09-01,MICHEL DE L HOSPITAL,236,234
2025-09-01,MICHELET,42,41
2025-09-01,MORISOT MOZART,241,241
2025-09-01,NERUDA,25,25
2025-09-01,OLYMPE DE GOUGES,169,166
2025-09-01,PAGNOL,76,76
2025-09-01,PASTEUR,42,42
2025-09-01,PAUL BERT VICTOR HUGO,144,144
2025-09-01,PAUL LANGEVIN,119,119
2025-09-01,PAUL PAINLEVE,108,108
2025-09-01,PERICLES,75,75
2025-09-01,PICASSO,13,13
2025-09-01,PREVERT,18,18
2025-09-01,PROKOFIEV,39,26
2025-09-01,RENAUD,35,35
2025-09-01,RONSARD,95,95
2025-09-01,ROUX,32,32
2025-09-01,SAMUEL PATY,66,66
2025-09-01,SARAH BERNHARDT,38,38
2025-09-01,SIGMUND FREUD,130,130
2025-09-01,SIGNORET,85,83
2025-09-01,SIMON BOLIVAR,60,60
2025-09-01,SOULAGES,103,86
2025-09-01,SPINOZA,141,140
2025-09-01,SUN YAT SEN,154,154
2025-09-01,SURCOUF,79,78
2025-09-01,TERESA,51,51
2025-09-01,VAN GOGH,26,26
2025-09-01,VICTOR SCHOELCHER,191,191
2025-09-01,VOLTAIRE,176,176
2025-09-01,WINSTON CHURCHILL,245,243
2025-09-01,WOOLF,13,13
2025-09-02,AKIRA KUROSAWA,76,76
2025-09-02,ALAIN SAVARY,138,137
2025-09-02,ALBRECHT,63,63
2025-09-02,ANDRE BOULLOCHE,54,54
2025-09-02,ANDRE MALRAUX,222,221
2025-09-02,ANTOINE BALARD,70,49
2025-09-02,AQUITAINE,65,54
2025-09-02,ARISTOTE,54,54
2025-09-02,AUBIGNE,113,112
2025-09-02,AUBRAC,40,38
2025-09-02,AUGUSTE COMTE,50,50
2025-09-02,AVERROES,44,34
2025-09-02,BENOITE GROULT,211,211
2025-09-02,BERGMAN,46,46
2025-09-02,BLAISE PASCAL,91,90
2025-09-02,BON,63,55
2025-09-02,BOUCHER,88,86
2025-09-02,BRES,53,52
2025-09-02,CALANDRETA DAU CHIVALET,80,80
2025-09-02,CALANDRETA DAU CLAPAS,147,146
2025-09-02,CALLAS,77,19
2025-09-02,CAMOENS,39,33
2025-09-02,CANDOLA,80,80
2025-09-02,CERVANTES,38,33
2025-09-02,CHAPLIN,122,121
2025-09-02,CHAPTAL,86,86
2025-09-02,CHARLES BAUDELAIRE,178,178
2025-09-02,CHARLES DICKENS ANNE FRANK,280,279
2025-09-02,CHENGDU,146,145
2025-09-02,COCTEAU,63,63
2025-09-02,CONDORCET,161,161
2025-09-02,COPERNIC,31,31
2025-09-02,DAUDET,102,102
2025-09-02,DAVILER KERGOMARD,256,241
2025-09-02,DEROIN,93,93
2025-09-02,DIDEROT,135,135
2025-09-02,DOCTEUR CALMETTE,160,159
2025-09-02,DURUY,33,32
2025-09-02,ELUARD,61,61
2025-09-02,EMILE COMBES,60,60
2025-09-02,EUGENE POTTIER JEAN SIBELIUS,266,266
2025-09-02,F D ROOSEVELT,85,85
2025-09-02,FIGUIER,87,87
2025-09-02,FLORIAN,63,63
2025-09-02,FRANCOIS MITTERRAND,168,165
2025-09-02,FREDERIC BAZILLE,21,21
2025-09-02,GALILEE,76,76
2025-09-02,GAMA,70,68
2025-09-02,GAMBETTA,85,84
2025-09-02,GANDHI,13,13
2025-09-02,GARIBALDI,125,124
2025-09-02,GARNIER,66,53
2025-09-02,GEORGES SIMENON,163,163
2025-09-02,GERMAINE RICHIER,254,241
2025-09-02,GOETHE,46,46
2025-09-02,HEIDELBERG,89,89
2025-09-02,HYPATIE,42,35
2025-09-02,ISAAC SCHOLL,101,101
2025-09-02,JACQUES BREL,192,192
2025-09-02,JEAN JAURES,171,170
2025-09-02,JEAN MACE,133,133
2025-09-02,JEAN MERMOZ,133,133
2025-09-02,JEAN MOULIN,120,120
2025-09-02,JEAN ZAY,87,87
2025-09-02,JEANNE D ARC,111,111
2025-09-02,JEANNE MOREAU,166,166
2025-09-02,JOAN MIRO,213,211
2025-09-02,JOSEPH DELTEIL,116,116
2025-09-02,JOYCE,34,34
2025-09-02,JULES FERRY,142,142
2025-09-02,JULES SIMON,150,149
2025-09-02,JULES VERNE,100,99
2025-09-02,JULIE DAUBIE,150,150
2025-09-02,KIPLING,67,67
2025-09-02,LAFONTAINE,68,68
2025-09-02,LAMARTINE,79,79
2025-09-02,LEO MALET,192,192
2025-09-02,LEOPOLD SEDAR SENGHOR,100,100
2025-09-02,LOUIS ARMSTRONG,126,86
2025-09-02,LOUISVILLE,76,76
2025-09-02,LUDWIG VAN BEETHOVEN,314,312
2025-09-02,LUTHERKING,40,36
2025-09-02,MADAME DE SEVIGNE,125,125
2025-09-02,MARC BLOCH,113,113
2025-09-02,MARGUERITTE YOURCENAR,171,171
2025-09-02,MARIE CURIE,188,187
2025-09-02,MARIE PAPE CARPENTIER,122,119
2025-09-02,MICHEL DE L HOSPITAL,253,250
2025-09-02,MICHELET,49,48
2025-09-02,MORISOT MOZART,257,257
2025-09-02,NERUDA,27,27
2025-09-02,OLYMPE DE GOUGES,187,184
2025-09-02,PAGNOL,82,82
2025-09-02,PASTEUR,40,40
2025-09-02,PAUL BERT VICTOR HUGO,150,150
2025-09-02,PAUL LANGEVIN,121,121
2025-09-02,PAUL PAINLEVE,112,112
2025-09-02,PERICLES,84,83
2025-09-02,PICASSO,19,19
2025-09-02,PREVERT,19,19
2025-09-02,PROKOFIEV,48,48
2025-09-02,RENAUD,36,36
2025-09-02,RONSARD,111,111
2025-09-02,ROUX,36,36
2025-09-02,SAMUEL PATY,72,72
2025-09-02,SARAH BERNHARDT,41,41
2025-09-02,SIGMUND FREUD,135,102
2025-09-02,SIGNORET,89,85
2025-09-02,SIMON BOLIVAR,87,87
2025-09-02,SOULAGES,108,107
2025-09-02,SPINOZA,174,173
2025-09-02,SUN YAT SEN,175,152
2025-09-02,SURCOUF,82,81
2025-09-02,TERESA,59,59
2025-09-02,VAN GOGH,35,35
2025-09-02,VICTOR SCHOELCHER,218,218
2025-09-02,VOLTAIRE,200,200
2025-09-02,WINSTON CHURCHILL,262,262
2025-09-02,WOOLF,19,19
2025-09-04,AKIRA KUROSAWA,72,72
2025-09-04,ALAIN SAVARY,140,139
2025-09-04,ALBRECHT,67,66
2025-09-04,ANDRE BOULLOCHE,48,48
2025-09-04,ANDRE MALRAUX,233,232
2025-09-04,ANTOINE BALARD,55,32
2025-09-04,AQUITAINE,65,63
2025-09-04,ARISTOTE,59,59
2025-09-04,AUBIGNE,116,116
2025-09-04,AUBRAC,38,38
2025-09-04,AUGUSTE COMTE,51,51
2025-09-04,AVERROES,38,28
2025-09-04,BENOITE GROULT,205,204
2025-09-04,BERGMAN,50,50
2025-09-04,BLAISE PASCAL,86,85
2025-09-04,BON,62,62
2025-09-04,BOUCHER,89,87
2025-09-04,BRES,50,50
2025-09-04,CALANDRETA DAU CHIVALET,79,79
2025-09-04,CALANDRETA DAU CLAPAS,154,154
2025-09-04,CALLAS,94,93
2025-09-04,CAMOENS,41,37
2025-09-04,CANDOLA,82,82
2025-09-04,CERVANTES,36,33
2025-09-04,CHAPLIN,130,129
2025-09-04,CHAPTAL,86,85
2025-09-04,CHARLES BAUDELAIRE,172,172
2025-09-04,CHARLES DICKENS ANNE FRANK,292,290
2025-09-04,CHENGDU,147,146
2025-09-04,COCTEAU,67,67
2025-09-04,CONDORCET,162,162
2025-09-04,COPERNIC,31,31
2025-09-04,DAUDET,109,109
2025-09-04,DAVILER KERGOMARD,267,266
2025-09-04,DEROIN,101,101
2025-09-04,DIDEROT,129,129
2025-09-04,DOCTEUR CALMETTE,156,156
2025-09-04,DURUY,37,36
2025-09-04,ELUARD,68,68
2025-09-04,EMILE COMBES,60,60
2025-09-04,EUGENE POTTIER JEAN SIBELIUS,262,262
2025-09-04,F D ROOSEVELT,71,71
2025-09-04,FIGUIER,88,88
2025-09-04,FLORIAN,68,68
2025-09-04,FRANCOIS MITTERRAND,173,170
2025-09-04,FREDERIC BAZILLE,20,20
